Season,Name,Team,AVG,BB%,R,NameASCII,PlayerId,MLBAMID
2000,"Jeff Bagwell","HOU",0.310169491,0.148817802,152,"Jeff Bagwell",547,110432
2023,"Ronald Acuña Jr.","ATL",0.337480559,0.108843537,149,"Ronald Acuna Jr.",18401,660670
1985,"Rickey Henderson","NYY",0.314442413,0.151376146,146,"Rickey Henderson",194,115749
1997,"Craig Biggio","HOU",0.308562197,0.112903225,146,"Craig Biggio",549,110987
2001,"Sammy Sosa","CHC",0.327556325,0.163150492,146,"Sammy Sosa",302,122544
1993,"Lenny Dykstra","PHI",0.30455259,0.166882276,143,"Lenny Dykstra",1003619,113686
1997,"Larry Walker","COL",0.366197183,0.117469879,143,"Larry Walker",455,123833
1999,"Jeff Bagwell","HOU",0.304270462,0.204389574,143,"Jeff Bagwell",547,110432
2007,"Alex Rodriguez","NYY",0.313893653,0.13418079,143,"Alex Rodriguez",1274,121347
1996,"Ellis Burks","COL",0.344208809,0.089051094,142,"Ellis Burks",372,111736
1996,"Alex Rodriguez","SEA",0.357737104,0.087149187,141,"Alex Rodriguez",1274,121347
1996,"Chuck Knoblauch","MIN",0.340830449,0.139800285,140,"Chuck Knoblauch",609,117197
2007,"Jimmy Rollins","PHI",0.296089385,0.062982005,139,"Jimmy Rollins",971,276519
1999,"Roberto Alomar","CLE",0.323268206,0.142651296,138,"Roberto Alomar",860,110183
2000,"Todd Helton","COL",0.372413793,0.147776183,138,"Todd Helton",432,115732
2003,"Albert Pujols","STL",0.358714043,0.115328467,137,"Albert Pujols",1177,405395
2017,"Charlie Blackmon","COL",0.330745341,0.089655172,137,"Charlie Blackmon",7859,453568
1982,"Paul Molitor","MIL",0.301801801,0.091877496,136,"Paul Molitor",1009040,119236
2000,"Johnny Damon","KCR",0.326717557,0.087719298,136,"Johnny Damon",185,113028
2011,"Curtis Granderson","NYY",0.262435677,0.12301013,136,"Curtis Granderson",4747,434158
2003,"Todd Helton","COL",0.358490566,0.157894736,135,"Todd Helton",432,115732
2019,"Mookie Betts","BOS",0.29480737,0.137393767,135,"Mookie Betts",13611,605141
1998,"Sammy Sosa","CHC",0.30793157,0.101108033,134,"Sammy Sosa",302,122544
1999,"Shawn Green","TOR",0.309446254,0.094827586,134,"Shawn Green",651,115094
1999,"Derek Jeter","NYY",0.349282296,0.123139377,134,"Derek Jeter",826,116539
2000,"Alex Rodriguez","SEA",0.315884476,0.148809523,134,"Alex Rodriguez",1274,121347
2006,"Grady Sizemore","CLE",0.290076335,0.103861517,134,"Grady Sizemore",2197,429713
2024,"Shohei Ohtani","LAD",0.309748427,0.110807113,134,"Shohei Ohtani",19755,660271
1983,"Tim Raines","MON",0.297560975,0.134722222,133,"Tim Raines",1406,120891
1991,"Paul Molitor","MIL",0.32481203,0.102393617,133,"Paul Molitor",1009040,119236
2001,"Alex Rodriguez","TEX",0.318037974,0.102459016,133,"Alex Rodriguez",1274,121347
2004,"Albert Pujols","STL",0.331081081,0.121387283,133,"Albert Pujols",1177,405395
2022,"Aaron Judge","NYY",0.310526315,0.159482758,133,"Aaron Judge",15640,592450
1980,"Willie Wilson","KCR",0.326241134,0.037583892,132,"Willie Wilson",1014113,124435
1996,"Kenny Lofton","CLE",0.317220543,0.082880434,132,"Kenny Lofton",246,117863
1996,"Roberto Alomar","BAL",0.328231292,0.128755364,132,"Roberto Alomar",860,110183
1999,"Jay Bell","ARI",0.288624787,0.119186046,132,"Jay Bell",48,110826
2001,"Todd Helton","COL",0.33560477,0.140602582,132,"Todd Helton",432,115732
1983,"Dale Murphy","ATL",0.30220713,0.131004366,131,"Dale Murphy",1009355,119545
1999,"Manny Ramirez","CLE",0.333333333,0.15,131,"Manny Ramirez",210,120903
2006,"Chase Utley","PHI",0.308510638,0.085250338,131,"Chase Utley",1679,400284
2023,"Freddie Freeman","LAD",0.331240188,0.098630136,131,"Freddie Freeman",5361,518692
1986,"Rickey Henderson","NYY",0.263157894,0.126961483,130,"Rickey Henderson",194,115749
